lat,lon,name,address,station_id,parking_hoop,parking_type,contact_phone,is_charging_station,rental_uris.ios,rental_uris.web,rental_uris.android,vehicle_type_capacity.num_bikes_now,vehicle_type_capacity.num_bikes_limit,vehicle_type_capacity.num_bikes_parkable,vehicle_type_capacity.num_bikes_rentalable
35.9323377,139.6077712,日進駅,埼玉県さいたま市北区日進町２－1125－32,7588,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7588?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7588?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7588?referrer=odpt,17,25,8,17
35.9059564,139.6253313,大宮駅東口,埼玉県さいたま市大宮区大門町１－74－１,7589,False,street_parking,+8105038218282,False,https://www.hellocycling.jp/app/port/detail/7589?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7589?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7589?referrer=odpt,13,22,9,8
35.8834503,139.6374767,与野駅,埼玉県さいたま市中央区下落合1055,7590,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7590?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7590?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7590?referrer=odpt,11,11,0,11
35.9063743,139.6468232,合併記念見沼公園,埼玉県さいたま市大宮区天沼町１－941－１,7591,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7591?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7591?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7591?referrer=odpt,0,10,10,0
35.9306081,139.6198794,北区役所,埼玉県さいたま市北区宮原町１－852－１,7592,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7592?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7592?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7592?referrer=odpt,6,10,4,4
35.8806461,139.6177899,与野公園,埼玉県さいたま市中央区本町西１,7593,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7593?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7593?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7593?referrer=odpt,1,8,7,1
35.9102587,139.620046,桜木駐車場,埼玉県さいたま市大宮区桜木町３－１－１,7594,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7594?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7594?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7594?referrer=odpt,1,12,11,0
35.9161213,139.6252609,北大宮駅,埼玉県さいたま市大宮区土手町３－162－４,7595,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7595?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7595?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7595?referrer=odpt,4,12,8,3
35.9201828,139.6174416,鉄道博物館駅,埼玉県さいたま市大宮区大成町３－92,7596,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7596?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7596?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7596?referrer=odpt,2,12,10,1
35.8941456,139.6340753,さいたま新都心駅東口,埼玉県さいたま市大宮区吉敷町４－261,7597,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7597?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7597?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7597?referrer=odpt,1,15,14,1
35.92099,139.6169575,ミニストップ　鉄道博物館駅前店,埼玉県さいたま市大宮区大成町３－283－１,7598,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7598?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7598?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7598?referrer=odpt,6,8,2,6
35.890359,139.6278238,北与野駅,埼玉県さいたま市中央区上落合２－３－３,7599,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7599?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7599?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7599?referrer=odpt,1,16,15,0
35.903636,139.622586,大宮駅西口,埼玉県さいたま市大宮区桜木町１－185,7600,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7600?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7600?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7600?referrer=odpt,3,22,19,2
35.923336504411,139.60880859735,イオン大宮店,埼玉県さいたま市北区櫛引町２－５７４－１,7602,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7602?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7602?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7602?referrer=odpt,4,17,13,3
35.714216,139.827508,ディアレイシャス東京イーストパレス,東京都墨田区八広2-52-12,7603,False,street_parking,+8105038218282,False,https://www.hellocycling.jp/app/port/detail/7603?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7603?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7603?referrer=odpt,0,5,5,0
35.6994592,139.8308174,AZEST亀戸Ⅱ,東京都江東区亀戸5-38-6,7604,False,street_parking,+8105038218282,False,https://www.hellocycling.jp/app/port/detail/7604?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7604?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7604?referrer=odpt,1,5,4,0
35.7536361,139.6279357,AZEST光が丘,東京都練馬区高松4-13-2,7605,False,street_parking,+8105038218282,False,https://www.hellocycling.jp/app/port/detail/7605?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7605?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7605?referrer=odpt,4,5,1,4
35.7858346,139.8309267,メルディア北加平,東京都足立区北加平町9-29,7606,False,street_parking,+8105038218282,False,https://www.hellocycling.jp/app/port/detail/7606?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7606?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7606?referrer=odpt,4,4,0,4
34.704156040155,135.54287211608,コムズシティ野江C棟,大阪府大阪市城東区中央２丁目１４−Ｃ,7611,False,street_parking,+8105038218282,False,https://www.hellocycling.jp/app/port/detail/7611?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7611?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7611?referrer=odpt,0,6,6,0
34.734499129419,135.34011613183,ダブルナインレジデンス西宮,兵庫県西宮市戸田町4-12,7612,False,street_parking,+8105038218282,False,https://www.hellocycling.jp/app/port/detail/7612?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7612?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7612?referrer=odpt,4,5,0,4
35.7021239,139.5417436,JR武蔵境駅高架下,東京都武蔵野市境南町三丁目,7613,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7613?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7613?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7613?referrer=odpt,44,62,18,41
35.6993059,139.4434963,JR国立駅高架下,東京都国立市北１－１１－２,7614,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7614?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7614?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7614?referrer=odpt,56,69,13,55
35.70129,139.50401,JR武蔵小金井駅高架下,東京都小金井市本町六丁目,7615,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7615?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7615?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7615?referrer=odpt,26,42,16,25
35.70159,139.52191,JR東小金井駅高架下,東京都小金井市緑町１丁目１３４－１,7616,False,street_parking,+8105038218282,True,https://www.hellocycling.jp/app/port/detail/7616?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7616?referrer=odpt,https://www.hellocycling.jp/app/port/detail/7616?referrer=odpt,49,52,3,48
