lat,lon,name,address,station_id,parking_hoop,parking_type,contact_phone,vehicle_capacity,is_charging_station,rental_uris.ios,rental_uris.web,rental_uris.android
35.341903,139.486131,FUJISAWA INN＆SUITES,神奈川県藤沢市藤沢545-166,5501,False,street_parking,+8105038218282,3,False,https://www.hellocycling.jp/app/port/detail/5501?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5501?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5501?referrer=odpt
35.3169278,139.4718396,KUGENUMA INN＆SUITES,神奈川県藤沢市鵠沼海岸1-16-8,5502,False,street_parking,+8105038218282,6,False,https://www.hellocycling.jp/app/port/detail/5502?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5502?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5502?referrer=odpt
35.753288681185,139.73903283477,サンスクエア第２駐輪場,東京都北区王子1-4-1,5503,False,street_parking,+8105038218282,18,False,https://www.hellocycling.jp/app/port/detail/5503?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5503?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5503?referrer=odpt
34.496339966653,135.51216512918,泉ヶ丘センタービル,大阪府堺市南区茶山台1-2-1,5504,False,street_parking,+8105038218282,12,False,https://www.hellocycling.jp/app/port/detail/5504?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5504?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5504?referrer=odpt
35.800949,139.804826,ファミリーマート　保木間五丁目店,東京都足立区保木間5-11-25,5505,False,street_parking,+8105038218282,8,False,https://www.hellocycling.jp/app/port/detail/5505?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5505?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5505?referrer=odpt
35.767292,139.73838,ファミリーマート　東京成徳学園前店,東京都北区王子5-23-8,5506,False,street_parking,+8105038218282,7,False,https://www.hellocycling.jp/app/port/detail/5506?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5506?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5506?referrer=odpt
35.597083,139.640161,ファミリーマート　高津下野毛店,神奈川県川崎市高津区下野毛1-13-1,5507,False,street_parking,+8105038218282,5,False,https://www.hellocycling.jp/app/port/detail/5507?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5507?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5507?referrer=odpt
35.6471268,139.5363266,調布市郷土博物館 敷地内,東京都調布市小島町3-26-2,5508,False,street_parking,+8105038218282,5,False,https://www.hellocycling.jp/app/port/detail/5508?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5508?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5508?referrer=odpt
35.6642249,139.5844337,仙川北 自転車駐輪場,東京都調布市仙川町3-3-45,5510,False,street_parking,+8105038218282,7,False,https://www.hellocycling.jp/app/port/detail/5510?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5510?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5510?referrer=odpt
35.001134,138.470658,pion 清水店,静岡県静岡市清水区船越南町802-1,5511,False,street_parking,+8105038218282,6,False,https://www.hellocycling.jp/app/port/detail/5511?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5511?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5511?referrer=odpt
34.944998142072,135.66203355789,ナカムラ竹研,京都府京都市西京区大原野小塩町72-2,5512,False,street_parking,+8105038218282,6,False,https://www.hellocycling.jp/app/port/detail/5512?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5512?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5512?referrer=odpt
35.011817,138.478108,岡生涯学習交流館,静岡県静岡市清水区桜ヶ丘町7-1,5513,False,street_parking,+8105038218282,6,False,https://www.hellocycling.jp/app/port/detail/5513?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5513?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5513?referrer=odpt
35.739591,139.808444,TFCアーバンフォート北,東京都荒川区南千住8-6-3,5514,False,street_parking,+8105038218282,5,False,https://www.hellocycling.jp/app/port/detail/5514?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5514?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5514?referrer=odpt
35.640255,140.103708,UR賃貸住宅 グリーンプラザ園生,千葉県千葉市稲毛区園生町1107-1,5515,False,street_parking,+8105038218282,10,False,https://www.hellocycling.jp/app/port/detail/5515?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5515?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5515?referrer=odpt
35.635378,140.118937,UR賃貸住宅 千草台,千葉県千葉市稲毛区千草台1-1,5516,False,street_parking,+8105038218282,5,False,https://www.hellocycling.jp/app/port/detail/5516?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5516?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5516?referrer=odpt
35.649051,140.116094,UR賃貸住宅 あやめ台,千葉県千葉市稲毛区あやめ台1,5517,False,street_parking,+8105038218282,7,False,https://www.hellocycling.jp/app/port/detail/5517?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5517?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5517?referrer=odpt
35.624197,140.085688,UR賃貸住宅 千葉幸町(1),千葉県千葉市美浜区幸町2-18,5518,False,street_parking,+8105038218282,4,False,https://www.hellocycling.jp/app/port/detail/5518?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5518?referrer=odpt,https://www.hellocycling.jp/app/port/detail/5518?referrer=odpt
